"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Country","Country ID"
-0.349603541,-0.2850547948,-0.2563869194,-0.2921142678,-0.4645172163,-0.5887997081,-0.5516457395,-0.5170572955,-0.3260498517,-0.2912068291,-0.2969251584,-0.2750292386,-0.3571528114,-0.4287426667,-0.408032337,-0.4279831777,-0.3308614416,-0.3180002786,-0.2725272836,-0.3892548473,-0.3822088875,-0.3667666498,-0.379019101,-0.3429689193,"Kenya","afken"
-0.5577896458,-0.6334927945,-0.9715103591,-0.5755640713,-0.6188309749,-0.4945490003,-0.2426966839,-0.4300854328,-0.3839775147,-0.4954198574,-0.825616228,-0.9369739,-0.2150437359,0.0536225376,-0.0441327931,-0.2172766364,-0.4706908149,-0.0804126089,-0.350977586,-0.1227217758,-0.2375126699,-0.1116620924,-0.0511152924,0.1744313567,"Kuwait","askwt"
,,,,,,,,,,,,,-0.4616745226,-0.3634878348,-0.2020231402,-0.1628812234,-0.1833701988,-0.1572496704,-0.0232891903,-0.1015391865,-0.2916408757,-0.3630432768,-0.2838616185,"Kyrgyzstan","askgz"
,,,,,,,,,,,,-0.9181437941,-1.0212087044,-0.9252424792,-0.8918646072,-0.8729096446,-0.9180443733,-0.835294072,-0.6847310014,-0.6571699621,-0.6077337442,-0.6385408109,-0.4972194116,"Laos","aslao"
,,,,,,0.1151700076,0.1031675974,0.2069856579,0.4254373847,0.3622447548,0.3815146753,0.279080544,0.3254770203,0.2445137512,0.3822831137,0.3770265633,0.3836381767,0.3807572957,0.3719143553,0.2905749743,0.3081734756,0.2292253249,0.2879353851,"Lebanon","aslbn"
-1.1723692524,-1.1495365541,-1.6901435921,-1.1794989211,-1.0689740217,-1.0380601181,-0.8861403109,-0.771088978,-0.8085935208,-0.9469194618,-1.2081813228,-1.2994224163,-1.2312577909,-1.2252898174,-1.5495786685,-1.7903723167,-1.809261053,-1.3681626364,-1.470281619,-1.2675413123,-1.52862474,-1.5063192697,-1.2899440781,-1.18947434,"Libya","aflby"
0.1324057051,0.1150753353,0.160081571,0.1105968004,0.0292294678,0.062800969,0.0788384451,0.2083318289,0.326614737,0.5046017764,0.5600373325,0.5356921937,0.4581423285,0.5886689921,0.6701286166,0.7483834389,0.7608653642,0.7637002918,0.7696787561,0.7778870952,0.8487148271,0.8420118482,0.8772446655,0.9283804058,"Lithuania","eultu"
,,,,,,,,,,,,,,,-0.8076146389,-0.8408985245,-0.7329542896,-0.9150574575,-0.9551042414,-0.957864021,-1.057849408,-1.1292714175,-0.9980243142,"Madagascar","afmdg"
,,,,,,,,,,,,,,,-1.065254743,,,,,,,,,"Malawi","afmwi"
-0.203392243,-0.0787600935,0.1781780045,0.350800079,0.3515605576,0.3769369453,0.5103777931,0.5552070573,0.6682547642,0.7196229349,0.7384871141,0.8927646527,0.9951200404,1.1507789635,1.1109580771,1.0499941966,0.99507798,0.930359247,1.0772465868,1.1189241886,1.0626484545,1.103879793,1.0884639793,1.0896751835,"Malaysia","asmys"
,,,,,,,,,,-1.0337706778,,,-1.2223337158,-1.1074601209,-1.3189287986,-1.3528628817,-1.8153976715,-1.3064325204,-1.0269709696,-1.0697189378,-1.1419261085,-1.2659186513,-1.663023358,"Mali","afmli"
,,,,,,,,,-1.6300001073,-1.8893530622,-1.8330533193,-1.7606938132,-1.2435829811,-1.4992265742,-1.5438360465,-1.7111485552,-1.7182028102,-1.4770050909,-1.4950726209,-1.3990387696,-1.3840258998,-1.4877759977,-1.4394210692,"Mauritania","afmrt"
0.208011091,0.3788209279,0.4896242893,0.5442768069,0.6345563126,0.6407031226,0.7398735074,0.7641030484,0.8004535153,0.8353789051,0.9150096192,0.8937432815,0.891679809,1.0429489144,1.0104889558,1.0363475631,1.027322568,1.0566725982,1.016461042,1.048900047,1.0525011474,0.9838050743,0.9698133554,0.9943443757,"Mexico","namex"
,,,,,,,,,0.0922672867,0.1448785772,0.1494132586,0.0678113814,-0.0012621336,-0.0534007987,0.0344788806,0.0231033858,-0.0124654359,-0.1377937329,-0.2058371891,-0.1402009736,-0.1866362535,-0.2207195218,-0.1303777739,"Moldova","eumda"
,,,,,,,,,-0.9380105271,-0.9491022928,-0.919889007,-0.9316464775,-1.1726804792,-1.1017858242,-1.0346378449,-1.1564243805,-1.3022814715,-1.2707413735,-1.3407922866,-1.2672814983,-1.1480293434,-1.3481577056,-1.1769435864,"Mongolia","asmng"
